Account	Block	TxIndex	Ccy	#	Refund	Tx
0x5fbb847c76d5690777ba054e384b5ae7287731fa	3638647	18	SNGLS	67	646	0x96e136588f608fd943d314700c88bb39559e930246b022940c440d19cf3bf4e6
0xd8ff89b0b0f68dfb30c7df811816fb18b20b4087	3638650	11	SNGLS	68	8756	0x00995795426428a8d9525e84e807beea15b7f750291094cc76788858756751a4
0x831bf10dbf32ebe45063b6d872727d96d30cc902	3638650	56	SNGLS	69	100000	0xc31089f3590a2000a8753f01e6da8d85b987972c5b24432a70ac8c30772a6e6a
0x831bf10dbf32ebe45063b6d872727d96d30cc902	3638658	34	SNGLS	75	100000	0x7b1b806ffaaf1e6c5344ff6c2c29d8e5368ba7f58906561c6b1e7e44bb35584a
0x831bf10dbf32ebe45063b6d872727d96d30cc902	3638662	54	SNGLS	79	100000	0x6e7ff8d3992e8f2fd60d86b035f9b267051ca9ce159089bd2b1eff21beef7fc2
0x001f16e8b1eb07d921430063c39e39078510394a	3638670	32	SNGLS	82	1488	0xcfbc46475f5908ce6e84493b1347c517bc183cafe40ec00714e13bc10cbf3a0e
0x9076a9c475ead453e08646da9c470fbf07711ad9	3638678	22	SNGLS	86	1	0xe3bd927c6ece5e5d41db6f1096c23f16a5e0c61bb717f56812667bb0a0fa1dbb
0x8bf97c47f4e8e95e3220d75f3438ec7b54f002d7	3638684	12	SNGLS	87	168	0x42681692ce48043bcc15904fe6ab312f1cba6b06b6d7cd7d0ae69ac6bd540c23
0xaa738eba50c492d802a0c559423a3c12348d4dee	3638684	25	SNGLS	88	10000	0x94a0f7082b7f941d282a136e0c5308c3a0db7deb387be1451cd44faaeca10ac1
0x001f16e8b1eb07d921430063c39e39078510394a	3638694	21	SNGLS	96	1488	0xc9a896a14b6ac8c72c52a3a0c9111d98bc50a142ad0396413da2ee3c99908439
0x9dbd74890cc168eaca2f6bf1a975f29a508ec7f0	3638700	9	SNGLS	99	100	0x0cdc4a1906a30bc896b3bc1a2a74c1a329b8265e8442e7a86f9e1c44ab1f7700
0x1ac68209876d8d6208b99adcf3427fadc048d116	3638733	7	SNGLS	106	9	0x0844f76669950b23885678bdfcfedb8010508e37198269194b703b3ecfa6db40
0x1ac68209876d8d6208b99adcf3427fadc048d116	3638818	4	SNGLS	115	1399	0x2ece2519baa3f02c0f734795558e1063bcd27b8e26ce8251517a8607f0640ce2
0x2ca9e3503b5f7df399c11c01dfb4bdc4691b2acc	3638863	59	SNGLS	118	1449	0xee5366c623c215fcea72e15a03adf5808629dda656168fa5454742944234db7f
0xdc9b077032c9ecf708a4f47123dabb2cc18bcaa2	3638919	8	SNGLS	119	244	0x2a1961c61b6625f319794c98911da0cae9c6cd83cbdb776c322835eedf477f8e
0x057d516978a9b17ef53b44bae182540d39a1fe80	3639265	35	SNGLS	123	716	0xfcb2eaca4bbcb75e4da38d0f050b984ec5c7fc226983fafe01de7ee97e98a5f1
0x6ba2ac6354bef105f5871bd7fcea4c33a8ece77a	3639272	20	SNGLS	124	717	0xf24cd3d86700a30979af0fb75fcd60f17ce555641f9109a2717150a8a18098dc
0x9ea25cd27438c796da06ab896ceab2b96c4fb2d3	3639362	20	SNGLS	125	1	0xce0fc41644c44031a0a30386c54fb86f62375e8ed1b80c8fcab5125e7b0b6751
0xceed47ca5b899fd1623f21e9bd4db65a10e5b09d	3639477	2	SNGLS	126	99	0xd6e2492ab910b6bc8292153bc28e51ac1ec66cf161b886ee19a785829dcfea35
0x1815eb42e43e800eef4b9b2245751f85b92e87a4	3639773	8	SNGLS	127	300	0xbc3505e88116c697681d6fc1c873641f89917c6cf3fb917d98dc0ad7e07f5b78
0x4be7405f3e0f33c0b220f808d9f1b40fc8a60805	3640058	3	SNGLS	128	175802	0x45bc09a982af4a2da721668f599319265f48365d90166c3f9d7f8db93cbc914e
0x058e0a14eaa228604f44de2b4be71f5d36e4a926	3641554	50	SNGLS	129	5	0xa97255716e7baf8037994f961c8df19b00301205eb538279c527373ca506d10e
0x058e0a14eaa228604f44de2b4be71f5d36e4a926	3641574	5	SNGLS	130	769	0x6f5ef684691156670f44821eaaa5359d76cdf2958add723110fe8cf2f267a69a
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98	3638588	4	SWT	12	109.9	0x62fde0d9cabcefb9717df4a7d81d89a2356c94a700fcc2586a94e19e2464a184
0x8bf97c47f4e8e95e3220d75f3438ec7b54f002d7	3638626	6	SWT	55	5.9	0x1eec6b51ecc8f78e45e1fea7d72ae58fe9c777b9c02bede9d58efe7ac386a51b
0x5fbb847c76d5690777ba054e384b5ae7287731fa	3638638	63	SWT	63	205	0x8f78fd136bc4b7e8accc8e6a40e2e40776189fddc7115a876314fc57bf8a99a7
0x1ff7265801ac5a85bb1719a4a02f4da7d5031118	3638654	25	SWT	71	100	0x8f38c3839b68b460d6defcecaf7d365a18cc3150cc5efc8079ef6d81d9360451
0xae4ce1ee85c891c20371833801e220c5c7c3c784	3638698	18	SWT	98	500	0xc93192123568f3f3607c8bff7593cf2f19e55bd10839158288879be3205e8ecd
0x42ec143aede3e5f6ee11e9a686f5ff20c3dfb9f8	3638724	1	SWT	104	148	0x3c3a2d38b16094541fc4202632189fcbdda5dd013f724769788afb3a952506d5
0xde67174cf9d6ecdfce68a57b6560e7274faac48c	3639135	12	SWT	121	300	0x77f87e313a65bea7e74047cfb5b6dc1fc2099a05fce7b73191d9106a4db1057b
